Palette: 4
waterColorOverride: 0.15, 0.35, 0.15
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.2
overseersMin: 0
overseersMax: 2
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.5
Subregion: Twilight Thicket
Room Setting Templates: Inside
Room_Attr: GATE_DS_SB: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GATE_SU_DS: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GATE_DS_GW: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Avoid,
Room_Attr: GATE_DS_CC: BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: UG_B02: BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Like,
Room_Attr: UG_A22: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: UG_A06: BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Avoid,
Room_Attr: UG_A02: Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Avoid,ScavengerElite-Like,
Room_Attr: UG_A20: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: UG_S01r: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: UG_B03: Snail-Forbidden,Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Like,
Room_Attr: UG_A09: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_A19: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_B04: Snail-Like,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_A08: Snail-Like,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_S04: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_B07: Salamander-Like,Snail-Stay,Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_A16: Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Like,
Room_Attr: UG_A07: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: UG_A24: BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Avoid,
Room_Attr: UG_A11: BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Avoid,
Room_Attr: UG_C04: Scavenger-Avoid,DropBug-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_A25: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_B08: Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,DropBug-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_C01: Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_S02l: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Avoid,
