Palette: 13
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
earlyCycleChance: 0.0
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.0
Subregion: The Stargazer
Subregion: The Stargazer (Stygian Bowels)
Subregion: The Stargazer (Braces)
Subregion: Looks to the Moon
Subregion: The Peak
Subregion: The Stargazer (Muted Chambers)
Subregion: The Stargazer (Ducts)
Room Setting Templates: Itterator, Wall, Conflux, Underhang, Leg
batGlowColor: FFB600
superStructureFusesBroken: True
Room_Attr: GATE_SL_DM: MirosVulture-Forbidden,
Room_Attr: GATE_SL_MS: YellowLizard-Forbidden,DropBug-Forbidden,Inspector-Forbidden,
Room_Attr: DM_ENTRANCE: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_S01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_M03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_O08: MirosVulture-Forbidden,
Room_Attr: DM_O01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_O02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_O03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_O07: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_O04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_O05: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_O06: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_VISTA: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_CROSSOVER01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
