Palette: 4
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.2
overseersMin: 0
overseersMax: 2
playerGuideOverseerSpawnChance: 0.0
Room_Attr: DS_B02: DropBug-Like,
Room_Attr: DS_A22: DropBug-Avoid,
Room_Attr: DS_A02: DropBug-Avoid,
Room_Attr: DS_B03: Snail-Forbidden,
Room_Attr: DS_A15: DropBug-Like,
Room_Attr: DS_A23: DropBug-Like,
Room_Attr: DS_A19: DropBug-Like,
Room_Attr: DS_B04: Snail-Like,DropBug-Like,
Room_Attr: DS_A08: Snail-Like,
Room_Attr: DS_B07: Salamander-Like,Snail-Stay,DropBug-Like,
Room_Attr: DS_A24: DropBug-Avoid,
Room_Attr: DS_A11: DropBug-Avoid,
Room_Attr: DS_C04: DropBug-Avoid,
Room_Attr: DS_A14: Snail-Forbidden,DropBug-Avoid,
Room_Attr: DS_B08: DropBug-Avoid,
Room_Attr: DS_D01: Leech-Forbidden,DropBug-Avoid,
Room_Attr: DS_A05: Snail-Stay,DropBug-Avoid,
Room_Attr: DS_D03: Leech-Forbidden,DropBug-Avoid,
Room_Attr: DS_B06: Snail-Forbidden,
Room_Attr: DS_A13: Snail-Forbidden,
Room_Attr: DS_A10: Snail-Forbidden,DropBug-Avoid,
pupSpawnChance: 0.25
Room_Attr: DS_A25: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: DS_C03: Leech-Forbidden,
Room_Attr: DS_GUTTER01: BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: DS_GUTTER03: BigSpider-Like,SpitterSpider-Like,
Room_Attr: DS_GUTTER04: BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: DS_GUTTER05: BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: DS_RIVSTART: BigSpider-Forbidden,SpitterSpider-Forbidden,
Room Setting Templates: Inside
Subregion: Rusted Culvert
