Palette: 9
corruptionEffectColor: 0.1,0.0,0.9
corruptionEyeColor: 0.1,0.0,0.9
Subregion: Disposal Unit
Room Setting Templates: Outside, Inside
batGlowColor: FFB600
Room_Attr: GW_C06: Centipede-Like,RedCentipede-Like,Scavenger-Like,DropBug-Like,
Room_Attr: GW_E02: Vulture-Like,RedCentipede-Avoid,Scavenger-Like,DropBug-Avoid,KingVulture-Like,
Room_Attr: GW_B02: Vulture-Like,Centipede-Like,Scavenger-Like,KingVulture-Like,
Room_Attr: GW_C03: Vulture-Like,RedCentipede-Avoid,Scavenger-Like,DropBug-Forbidden,KingVulture-Like,
Room_Attr: GW_C05: Centipede-Forbidden,RedCentipede-Forbidden,Scavenger-Like,DropBug-Forbidden,
Room_Attr: GW_A24: Vulture-Avoid,Centipede-Forbidden,RedCentipede-Forbidden,DropBug-Forbidden,KingVulture-Avoid,
Room_Attr: GW_B05: Centipede-Like,DropBug-Like,
Room_Attr: GW_A20: Centipede-Like,DropBug-Like,
Room_Attr: GW_A19: Centipede-Like,DropBug-Like,
Room_Attr: GW_B01: Vulture-Avoid,KingVulture-Avoid,
Room_Attr: GW_A01: Centipede-Like,RedCentipede-Like,DropBug-Like,
Room_Attr: GW_C01: Vulture-Like,KingVulture-Like,
Room_Attr: GW_A12: CyanLizard-Forbidden,Centipede-Stay,SmallCentipede-Stay,DropBug-Avoid,
Room_Attr: GW_A05: Snail-Like,
Room_Attr: GW_A08: Snail-Like,
Room_Attr: GW_A06: Snail-Like,
Room_Attr: GW_A07: Snail-Like,
Room_Attr: GW_A10: Snail-Like,
Room_Attr: GW_D01: Vulture-Like,SmallCentipede-Forbidden,KingVulture-Like,
Room_Attr: GW_B07: Centipede-Like,DropBug-Like,
Room_Attr: GW_A04: Centipede-Like,SmallCentipede-Stay,DropBug-Like,
Room_Attr: GW_S06: SmallCentipede-Avoid,
Room_Attr: GW_C08: BrotherLongLegs-Like,Centipede-Like,DropBug-Like,
Room_Attr: GW_C02: Vulture-Like,KingVulture-Like,
Room_Attr: GW_A13: Centipede-Avoid,RedCentipede-Avoid,DropBug-Avoid,
Room_Attr: GW_A11: Centipede-Forbidden,RedCentipede-Forbidden,DropBug-Avoid,
Room_Attr: GW_S08: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,KingVulture-Forbidden,
Room_Attr: GW_B06: Centipede-Like,DropBug-Like,
Room_Attr: GW_A22: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,EggBug-Forbidden,DropBug-Stay,KingVulture-Forbidden,
Room_Attr: GW_A23: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Avoid,EggBug-Forbidden,DropBug-Like,KingVulture-Forbidden,
Room_Attr: GW_C11: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Like,Overseer-Forbidden,EggBug-Forbidden,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: GW_B09: Centipede-Like,RedCentipede-Like,
Room_Attr: GW_D02: Centipede-Like,RedCentipede-Like,DropBug-Like,
Room_Attr: GW_C07: Centipede-Like,RedCentipede-Like,SmallCentipede-Stay,DropBug-Stay,
Room_Attr: GW_C10: BrotherLongLegs-Like,Centipede-Like,RedCentipede-Like,DropBug-Like,
Room_Attr: GW_E01: BrotherLongLegs-Like,Centipede-Like,RedCentipede-Like,
Room_Attr: GW_C09: BrotherLongLegs-Like,Centipede-Like,RedCentipede-Like,
Room_Attr: GW_photo02: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Like,Overseer-Forbidden,EggBug-Forbidden,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: GW_photo01: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Like,Overseer-Forbidden,EggBug-Forbidden,DropBug-Avoid,KingVulture-Forbidden,
