Palette: 13
corruptionEffectColor: 0.1,0.0,0.9
corruptionEyeColor: 0.1,0.0,0.9
waterColorOverride: 0.15, 0.35, 0.15
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.7
overseersMin: 3
overseersMax: 8
playerGuideOverseerSpawnChance: 0.5
pupSpawnChance: 0.3
Subregion: Misty Foundry
Subregion: Looks to the Moon
Subregion: Braces
Subregion: The Shell
Subregion: Clouded Walkway
Room Setting Templates: Fog, Sewer, Itterator, Leg, Wall
batGlowColor: FFB600
Room_Attr: GATE_SH_SL: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: GATE_GW_SL: Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: GATE_UW_SL: LanternMouse-Forbidden,Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: GATE_SL_DM: BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: LM_S02: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_A08: Salamander-Forbidden,Scavenger-Avoid,Overseer-Like,ScavengerElite-Avoid,
Room_Attr: LM_S07: Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_C12: Scavenger-Avoid,Overseer-Like,ScavengerElite-Avoid,
Room_Attr: LM_B02: Vulture-Avoid,Scavenger-Avoid,Overseer-Like,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_C11: Vulture-Forbidden,Scavenger-Avoid,Overseer-Like,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_A02: Scavenger-Like,ScavengerElite-Like,
Room_Attr: LM_C01: Scavenger-Like,ScavengerElite-Like,
Room_Attr: LM_A13: CyanLizard-Avoid,Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_B01: Scavenger-Like,ScavengerElite-Like,
Room_Attr: LM_F01: Salamander-Avoid,Vulture-Avoid,Scavenger-Avoid,Overseer-Like,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_C02: Salamander-Like,Scavenger-Like,ScavengerElite-Like,
Room_Attr: LM_C10: Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_A10: Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_F02: Salamander-Like,Vulture-Avoid,KingVulture-Avoid,
Room_Attr: LM_S05: Salamander-Forbidden,
Room_Attr: LM_D06: Salamander-Like,Scavenger-Like,ScavengerElite-Like,
Room_Attr: LM_D04: Salamander-Like,CyanLizard-Avoid,
Room_Attr: LM_A12: CyanLizard-Avoid,Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_C08: Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_C05: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_S09: Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_C04: Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_D01: Vulture-Avoid,JetFish-Stay,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_D02: Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_D03: WhiteLizard-Forbidden,CyanLizard-Avoid,Vulture-Avoid,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_A07: WhiteLizard-Forbidden,CyanLizard-Avoid,Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_A04: CyanLizard-Avoid,Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_S03: CyanLizard-Avoid,Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_E01: CyanLizard-Avoid,Vulture-Forbidden,LanternMouse-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_B04: WhiteLizard-Like,CyanLizard-Avoid,Vulture-Avoid,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,
