Palette: 17
albinos: true
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.01
overseersMin: 1
overseersMax: 1
playerGuideOverseerSpawnChance: 0.0
Subregion: Get out of Subterranean
Subregion: Null
Subregion: Event Horizon
Room Setting Templates: Subway, Filter, Temple, Gilded
Room_Attr: SB_F03: RedCentipede-Forbidden,Overseer-Stay,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: SB_A10: RedCentipede-Forbidden,Overseer-Forbidden,
Room_Attr: SB_A09: RedCentipede-Forbidden,Overseer-Stay,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: SB_H03: RedCentipede-Forbidden,DropBug-Like,
Room_Attr: SB_S06: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: SB_H02: Centipede-Stay,SmallCentipede-Stay,Overseer-Forbidden,DropBug-Like,
Room_Attr: SB_A04: Overseer-Forbidden,
Room_Attr: SB_A13: Overseer-Forbidden,
Room_Attr: SB_A01: Centipede-Like,SmallCentipede-Stay,Overseer-Forbidden,
Room_Attr: SB_A11: Overseer-Forbidden,
Room_Attr: SB_B01: Overseer-Forbidden,
Room_Attr: SB_S07: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,
Room_Attr: SB_A12: Overseer-Forbidden,
Room_Attr: SB_C01: Overseer-Forbidden,
Room_Attr: SB_B02: Overseer-Forbidden,
Room_Attr: SB_C05: Overseer-Forbidden,
Room_Attr: SB_A03: Overseer-Forbidden,
Room_Attr: SB_E04: RedCentipede-Avoid,Overseer-Forbidden,BigSpider-Like,SpitterSpider-Like,DropBug-Stay,
Room_Attr: SB_C06: Centipede-Avoid,Overseer-Forbidden,
Room_Attr: SB_F02: BlackLizard-Like,Overseer-Forbidden,
Room_Attr: SB_D04: BlackLizard-Like,Overseer-Forbidden,
Room_Attr: SB_G03: MirosBird-Stay,Overseer-Forbidden,DropBug-Like,
Room_Attr: SB_F01: BlackLizard-Like,Overseer-Forbidden,
Room_Attr: SB_J01: MirosBird-Stay,Overseer-Forbidden,DropBug-Like,
Room_Attr: SB_E02: Overseer-Forbidden,
Room_Attr: SB_G02: Overseer-Forbidden,DropBug-Avoid,
Room_Attr: SB_C07: Overseer-Forbidden,DropBug-Like,
Room_Attr: SB_J02: BigEel-Like,Overseer-Forbidden,
Room_Attr: SB_J03: CyanLizard-Forbidden,Overseer-Forbidden,
