Palette: 16
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
corruptionEffectColor: 0.1,0.0,0.9
corruptionEyeColor: 0.1,0.0,0.9
overseersSpawnChance: 1
overseersMin: 4
overseersMax: 8
playerGuideOverseerSpawnChance: 0.0
Subregion: Laden Stilt
Subregion: Breached Passage
Subregion: Upheld Rampart
batGlowColor: FFB600
Room Setting Templates: Leg, Underhang, Wall
Room_Attr: GATE_UW_SS: Overseer-Avoid,KingVulture-Forbidden,
Room_Attr: GATE_CC_UW: KingVulture-Forbidden,
Room_Attr: GATE_SH_UW: Overseer-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: GATE_SS_UW: KingVulture-Forbidden,
Room_Attr: UW_C08: Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,
Room_Attr: UW_C07: Overseer-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_H01: Overseer-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A14: Overseer-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A12: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_F01: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Overseer-Like,KingVulture-Avoid,
Room_Attr: UW_A13: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Overseer-Like,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_E01: Overseer-Stay,
Room_Attr: UW_A02: Overseer-Stay,
Room_Attr: UW_J01: YellowLizard-Stay,CyanLizard-Stay,Overseer-Like,
Room_Attr: UW_A01: Overseer-Stay,
Room_Attr: UW_D01: Overseer-Stay,
Room_Attr: UW_D07: Overseer-Like,KingVulture-Forbidden,
Room_Attr: UW_C05: SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_D06: Overseer-Avoid,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_C04: Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_D05: Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A04: CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
